Symbol,Year,Month,Avg_Close,Month_High,Month_Low,Avg_Volume,Avg_Return,Avg_Volatility,Avg_RSI,Trading_Days
LT,2023,5,2199.22,2348.63,2107.72,2365593.0,-0.31,35.31,46.04,22
LT,2023,6,2286.27,2413.9,2140.43,1788871.0,0.55,24.41,75.13,21
LT,2023,7,2449.95,2614.61,2352.17,1762562.0,0.39,33.06,67.89,21
LT,2023,8,2615.85,2719.85,2542.42,1508680.0,0.09,22.18,64.36,22
LT,2023,9,2833.01,3006.46,2642.69,2347743.0,0.57,38.67,72.55,20
LT,2023,10,2972.61,3062.1,2807.69,1985825.0,-0.15,40.68,56.49,20
LT,2023,11,2977.52,3071.53,2822.34,1495000.0,0.3,29.8,57.8,20
LT,2023,12,3361.2,3499.55,3068.09,1960220.0,0.64,62.13,76.64,20
LT,2024,1,3489.53,3674.48,3329.58,2222856.0,-0.05,39.79,58.22,21
LT,2024,2,3318.01,3453.39,3207.68,2816711.0,0.01,62.6,41.54,21
LT,2024,3,3552.39,3748.65,3421.94,2478001.0,0.45,61.31,63.64,18
LT,2024,4,3615.19,3794.5,3413.48,2129997.0,-0.22,62.04,50.7,20
LT,2024,5,3435.1,3681.26,3170.48,3563735.0,0.12,77.02,45.74,21
LT,2024,6,3535.23,3853.39,3121.18,4242070.0,-0.07,94.11,55.11,19
LT,2024,7,3608.7,3786.68,3428.03,2888082.0,0.34,43.25,54.64,22
LT,2024,8,3581.88,3803.48,3479.05,1958509.0,-0.13,55.13,49.62,21
LT,2024,9,3644.65,3803.33,3483.91,2267271.0,-0.03,45.56,57.07,21
LT,2024,10,3464.86,3689.59,3232.4,2541307.0,-0.05,67.37,37.64,22
LT,2024,11,3582.51,3726.25,3420.55,1647590.0,0.16,76.86,57.53,19
LT,2024,12,3727.48,3926.88,3517.2,1827746.0,-0.15,61.12,53.58,21
LT,2025,1,3505.4,3689.69,3363.63,1906556.0,-0.04,49.32,36.59,23
LT,2025,2,3258.3,3595.67,3111.98,2496713.0,-0.58,54.24,38.39,20
LT,2025,3,3271.19,3495.4,3123.92,1924974.0,0.53,57.03,54.86,19
LT,2025,4,3236.76,3469.24,2937.9,2400011.0,-0.2,77.54,49.03,19
LT,2025,5,3501.26,3661.15,3253.75,2197255.0,0.46,49.05,76.66,21
LT,2025,6,3638.24,3731.4,3485.9,1717830.0,0.04,26.77,57.08,21
LT,2025,7,3536.89,3685.3,3405.1,1748313.0,-0.03,36.05,37.15,23
LT,2025,8,3622.53,3727.9,3531.0,1443724.0,-0.05,42.46,56.63,19
LT,2025,9,3620.11,3794.9,3516.4,1687933.0,0.08,33.03,52.44,22
LT,2025,10,3840.69,4062.6,3615.0,1911774.0,0.46,37.83,70.41,21
LT,2025,11,3991.37,4140.0,3831.1,1576171.0,0.05,36.75,61.77,19
LT,2025,12,4041.2,4114.0,3949.1,1240737.0,0.02,28.76,54.16,22
LT,2026,1,3939.58,4195.0,3720.1,1925432.0,-0.17,62.46,37.62,21
LT,2026,2,4200.02,4440.0,3825.0,2155416.0,0.43,71.16,75.31,20
LT,2026,3,3984.45,4141.4,3760.0,5388279.0,-1.92,156.67,40.72,4
RELIANCE,2020,1,678.85,719.79,629.52,19232825.0,-0.29,8.96,55.25,22
RELIANCE,2020,2,644.56,674.61,592.74,19888800.0,-0.3,12.77,41.61,19
RELIANCE,2020,3,492.74,612.43,391.72,47388897.0,-0.6,32.46,26.15,21
RELIANCE,2020,4,568.9,668.77,467.57,57571464.0,1.61,26.56,69.16,18
RELIANCE,2020,5,659.26,722.48,629.07,52906324.0,0.07,14.78,63.79,19
