Date,Open,High,Low,Close,Volume,Symbol,MA_7,MA_14,MA_30,Daily_Return,Volatility_7,Price_Range,RSI,MA_Signal,Year,Month
2020-02-11,462.96,467.65,462.86,464.16,11674290.0,BAJFINANCE,449.54,433.13,418.58,0.59,13.47,4.79,85.84,Bullish,2020,2
2020-02-12,466.18,467.37,461.49,466.05,8829640.0,BAJFINANCE,455.26,437.62,420.33,0.41,9.84,5.88,87.82,Bullish,2020,2
2020-02-13,465.79,469.17,462.76,468.66,6810390.0,BAJFINANCE,459.11,441.81,422.12,0.56,8.87,6.41,87.18,Bullish,2020,2
2020-02-14,469.11,470.58,465.98,467.33,7311180.0,BAJFINANCE,462.65,446.12,424.04,-0.28,5.44,4.6,89.01,Bullish,2020,2
2020-02-17,467.33,468.92,464.23,466.83,7164840.0,BAJFINANCE,464.19,450.06,426.58,-0.11,4.74,4.69,87.68,Bullish,2020,2
2020-02-18,466.12,466.37,459.5,465.01,7286110.0,BAJFINANCE,465.64,452.42,429.03,-0.39,2.37,6.87,80.24,Bullish,2020,2
2020-02-19,467.65,477.61,467.17,476.74,11720490.0,BAJFINANCE,467.83,456.01,431.72,2.52,4.2,10.44,91.05,Bullish,2020,2
2020-02-20,475.75,481.17,474.37,476.97,16346430.0,BAJFINANCE,469.66,459.6,434.19,0.05,5.04,6.8,91.06,Bullish,2020,2
2020-02-24,473.02,476.54,464.34,469.5,12633890.0,BAJFINANCE,470.15,462.7,436.33,-1.57,4.8,12.2,81.92,Bullish,2020,2
2020-02-25,473.99,473.99,467.55,471.65,9593090.0,BAJFINANCE,470.58,464.84,438.49,0.46,4.77,6.44,77.46,Bullish,2020,2
2020-02-26,470.58,472.8,465.91,470.09,8513460.0,BAJFINANCE,470.97,466.81,440.5,-0.33,4.57,6.89,74.92,Bullish,2020,2
2020-02-27,470.58,470.58,460.52,465.18,11748700.0,BAJFINANCE,470.73,467.46,442.3,-1.04,4.85,10.06,59.78,Bullish,2020,2
2020-02-28,453.48,453.48,421.39,436.46,49414100.0,BAJFINANCE,466.66,466.15,443.1,-6.17,13.95,32.09,37.6,Bullish,2020,2
2020-03-02,449.57,451.32,420.8,426.18,22382160.0,BAJFINANCE,459.43,463.63,443.52,-2.36,19.74,30.52,27.36,Bullish,2020,3
2020-03-03,431.01,438.35,423.18,436.31,20235030.0,BAJFINANCE,453.62,461.64,444.53,2.38,19.7,15.17,33.68,Bullish,2020,3
2020-03-04,437.47,440.49,413.87,419.88,24729910.0,BAJFINANCE,446.54,458.34,445.05,-3.77,21.85,26.62,26.88,Bullish,2020,3
2020-03-05,422.19,427.83,418.58,424.22,18332950.0,BAJFINANCE,439.76,455.17,445.7,1.03,20.04,9.25,28.13,Bearish,2020,3
2020-03-06,404.07,415.14,395.4,413.95,33122380.0,BAJFINANCE,431.74,451.36,446.05,-2.42,16.86,19.74,25.85,Bearish,2020,3
2020-03-09,398.68,404.31,386.45,394.45,35456270.0,BAJFINANCE,421.64,446.19,445.54,-4.71,14.51,17.86,22.06,Bearish,2020,3
2020-03-11,393.2,403.47,390.36,394.83,27936830.0,BAJFINANCE,415.69,441.17,445.13,0.1,15.89,13.11,22.61,Bearish,2020,3
2020-03-12,378.11,379.09,355.4,365.8,52726190.0,BAJFINANCE,407.06,433.25,443.6,-7.35,23.71,23.69,11.85,Bearish,2020,3
2020-03-13,336.97,396.09,321.4,387.18,48499170.0,BAJFINANCE,400.04,426.83,442.11,5.84,20.69,74.69,23.04,Bearish,2020,3
2020-03-16,375.51,375.51,352.64,359.72,31404670.0,BAJFINANCE,391.45,418.99,439.88,-7.09,23.39,22.87,20.57,Bearish,2020,3
